<!-- List of MUFI-Entities and their codes as in "norron.dtd" by 6 Feb 2004 -->

&#xF023;	&nscapsup;
&#xF025;	&psup;
&#xF026;	&rscapsup;
&#xF027;	&ssup;
&#xF028;	&slongsup;
&#xF02A;	&tscapsup;
&#xF02B;	&ysup;
&#xF02C;	&zsup;
&#xF160;	&punctinter;
&#xF161;	&punctelev;
&#xF1F0;	&punctelevdiag;
&#xF1F1;	&quest8;
&#xF1F2;	&diacom;
&#xF1F3;	&brevdot;
&#xF1D2;	&luhsqb;
&#xF1D3;	&ruhsqb;
&#xF1D4;	&llhsqb;
&#xF1D5;	&rlhsqb;
&#xF16E;	&luslst;
&#xF16F;	&ruslst;
&#xF1D6;	&llslst;
&#xF1D7;	&rlslst;
&#xF70A;	&anc;
&#xF70B;	&ancacute;
&#xF719;	&ancdblac;
&#xF70C;	&ancgrave;
&#xF71A;	&ancdblgrave;
&#xF701;	&brev;
&#xF706;	&brevacute;
&#xF717;	&brevdblac;
&#xF707;	&brevgrave;
&#xF718;	&brevdblgrave;
&#xF700;	&mac;
&#xF704;	&macacute;
&#xF715;	&macdblac;
&#xF705;	&macgrave;
&#xF716;	&macdblgrave;
&#xF702;	&macbrev;
&#xF703;	&brevmac;
&#xF708;	&macbrevacute;
&#xF709;	&macbrevgrave;
&#xF71B;	&dblbrevmacacute;
&#xF71C;	&dblbrevmacdblac;
&#xF714;	&metrpause;
&#xF743;	&combdblbrevbl;
&#xF00A;	&macrhigh;
&#xF00B;	&macrmed;
&#xF00C;	&ovlhigh;
&#xF00D;	&ovlmed;
&#xE44D;	&bovlmed;
&#xE491;	&dovlmed;
&#xE517;	&hovlmed;
&#xE7C3;	&kovlmed;
&#xe5B0;	&lstrok;
&#xE5B1;	&lovlmed;
&#xE79E;	&slongovlmed;
&#xE7A2;	&thornovlmed;
&#xE150;	&Iovlhigh;
&#xE550;	&iovlmed;
&#xE154;	&Jmacrhigh;
&#xE152;	&Jovlhigh;
&#xE554;	&jmacrmed;
&#xE552;	&jovlmed;
&#xE596;	&lmacrhigh;
&#xE58C;	&lovlhigh;
&#xE1B8;	&Mmacrhigh;
&#xE1D2;	&Movlhigh;
&#xE5B8;	&mmacrmed;
&#xE5D2;	&movlmed;
&#xEFE0;	&AAligacute;
&#xEFE1;	&aaligacute;
&#xEFE2;	&AOligacute;
&#xEFE3;	&aoligacute;
&#xEFE4;	&AUligacute;
&#xEFE5;	&auligacute;
&#xEFE6;	&AVligacute;
&#xEFE7;	&avligacute;
&#xE099;	&Eogonacute;
&#xE499;	&eogonacute;
&#xE153;	&Jacute;
&#xE553;	&jacute;
&#xE20C;	&Oogonacute;
&#xE60C;	&oogonacute;
&#xE257;	&Oslashogonacute;
&#xE657;	&oslashogonacute;
&#xEFE8;	&OOligacute;
&#xEFE9;	&ooligacute;
&#xE33A;	&Vacute;
&#xE73A;	&vacute;
&#xE025;	&Adblac;
&#xE425;	&adblac;
&#xEFEA;	&AAligdblac;
&#xEFEB;	&aaligdblac;
&#xE041;	&AEligdblac;
&#xE441;	&aeligdblac;
&#xE0D1;	&Edblac;
&#xE4D1;	&edblac;
&#xE143;	&Idblac;
&#xE543;	&idblac;
&#xE162;	&Jdblac;
&#xE562;	&jdblac;
&#xEFEC;	&OOligdblac;
&#xEFED;	&ooligdblac;
&#xE34B;	&Vdblac;
&#xE74B;	&vdblac;
&#xE37C;	&Ydblac;
&#xE77C;	&ydblac;
&#xE384;	&ydotacute;
&#xE784;	&Ydotacute;
&#xEFEE;	&AAligdot;
&#xEFEF;	&aaligdot;
&#xEFF0;	&AYligdot;
&#xEFF1;	&ayligdot;
&#xEF20;	&gscapdot;
&#xE568;	&kdot;
&#xEF21;	&nscapdot;
&#xEF22;	&rscapdot;
&#xEF23;	&sscapdot;
&#xEF24;	&tscapdot;
&#xE34C;	&Vdot;
&#xE74C;	&vdot;
&#xE3E7;	&Vinsdot;
&#xE7E7;	&vinsdot;
&#xEFF2;	&AAligdotbl;
&#xEFF3;	&aaligdotbl;
&#xEFF4;	&AOligdotbl;
&#xEFF5;	&aoligdotbl;
&#xEFF6;	&AUligdotbl;
&#xEFF7;	&auligdotbl;
&#xEFF8;	&AVligdotbl;
&#xEFF9;	&avligdotbl;
&#xEFFA;	&AYligdotbl;
&#xEFFB;	&ayligdotbl;
&#xEF25;	&bscapdotbl;
&#xE066;	&Cdotbl;
&#xE466;	&cdotbl;
&#xEF26;	&dscapdotbl;
&#xE08F;	&ETHdotbl;
&#xE48F;	&ethdotbl;
&#xE0E8;	&Eogondotbl;
&#xE4E8;	&eogondotbl;
&#xE0EE;	&Fdotbl;
&#xE4EE;	&fdotbl;
&#xE3E5;	&Finsdotbl;
&#xE7E5;	&finsdotbl;
&#xE101;	&Gdotbl;
&#xE501;	&gdotbl;
