<!-- List of MUFI-Entities and their codes as in "norron.dtd" by 6 Feb 2004 -->

&rsquorev;	&#x201B;
&ldquo;	&#x201C;
&rdquo;	&#x201D;
&ldquolow;	&#x201E;
&rdquorev;	&#x201F;
&dagger;	&#x2020;
&Dagger;	&#x2021;
&bull;	&#x2022;
&tribull;	&#x2023;
&sgldr;	&#x2024;
&dblldr;	&#x2025;
&hellip;	&#x2026;
&hyphpoint;	&#x2027;
&nnbsp;	&#x202F;
&permil;	&#x2030;
&prime;	&#x2032;
&Prime;	&#x2033;
&lsaquo;	&#x2039;
&rsaquo;	&#x203A;
&refmark;	&#x203B;
&triast;	&#x2042;
&fracsol;	&#x2044;
&lsqbqu;	&#x2045;
&rsqbqu;	&#x2046;
&et;	&#x204A;
&revpara;	&#x204B;
&minus;	&#x2212;
&there4;	&#x2234;
&est;	&#x223B;
&cross;	&#x271D;
&lwhsqb;	&#x27E6;
&rwhsqb;	&#x27E7;
&langb;	&#x27E8;
&rangb;	&#x27E9;
&AAlig;	&#xEF90;
&aalig;	&#xEF91;
&AOlig;	&#xEF92;
&aolig;	&#xEF93;
&AUlig;	&#xEF94;
&aulig;	&#xEF95;
&AVlig;	&#xEF96;
&avlig;	&#xEF97;
&AVligslash;	&#xEF98;
&avligslash;	&#xEF99;
&AYlig;	&#xEF9A;
&aylig;	&#xEF9B;
&lbrk;	&#xEF9C;
&fscap;	&#xEF05;
&qscap;	&#xEF0C;
&sscap;	&#xEF0E;
&thscap;	&#xEF15;
&xscap;	&#xEF11;
&aenl;	&#xEEE0;
&benl;	&#xEEE1;
&cenl;	&#xEEE2;
&denl;	&#xEEE3;
&duncenl;	&#xEEE4;
&ethenl;	&#xEEE5;
&eenl;	&#xEEE6;
&fenl;	&#xEEE7;
&genl;	&#xEEE8;
&henl;	&#xEEE9;
&ienl;	&#xEEEA;
&jenl;	&#xEEEB;
&kenl;	&#xEEEC;
&lenl;	&#xEEED;
&menl;	&#xEEEE;
&nenl;	&#xEEEF;
&oenl;	&#xEEF0;
&penl;	&#xEEF1;
&qenl;	&#xEEF2;
&renl;	&#xEEF3;
&senl;	&#xEEF4;
&tenl;	&#xEEF5;
&thornenl;	&#xEEF6;
&uenl;	&#xEEF7;
&venl;	&#xEEF8;
&wenl;	&#xEEF9;
&xenl;	&#xEEFA;
&yenl;	&#xEEFB;
&zenl;	&#xEEFC;
&condes;	&#xF156;
&ET;	&#xF142;
&etslash;	&#xF158;
&rum;	&#xF154;
&de;	&#xF159;
&is;	&#xF15A;
&etfin;	&#xF155;
&thornslonglig;	&#xE734;
&hslongligbar;	&#xE7C7;
&kslongligbar;	&#xE7C8;
&thornslongligbar;	&#xE735;
&kbar;	&#xE7C5;
&thornbar;	&#xE73B;
&slongbar;	&#xE7FF;
&Pbardes;	&#xE270;
&pbardes;	&#xE670;
&qbardes;	&#xE68A;
&thornbardes;	&#xE7A0;
&Pflour;	&#xE27D;
&pflour;	&#xE67D;
&arbar;	&#xF1C0;
&er;	&#xF152;
